Network,Station,Latitude,Longitude,Elevation,SiteName,StartTime,EndTime
EC,J01,52.76501,5.05455,-4.9,Middenmeer,2014-06-01T00:00:00,
,SABA,17.62048,-63.243230000000004,261.0,"Saba, St. John",2006-10-30T00:00:00,
,SABQ,17.626520000000003,-63.24875,200.0,"Saba, The Bottom",2015-07-01T00:00:00,
,SABV,17.64263,-63.22831,200.0,"Saba, Zion Hill",2015-07-01T00:00:00,
,SABW,17.628,-63.23158000000001,200.0,"Saba, Windwardside",2015-07-01T00:00:00,
,SEUG,17.4783,-62.9739,152.0,"St. Eustatius, George",2013-12-15T00:00:00,
,SEUH,17.48326,-62.9547,100.0,"St. Eustatius, Knippenga",2015-07-01T00:00:00,
,SEUS,17.4928,-62.9814,46.0,"St. Eustatius, airport",2006-10-29T00:00:00,
,SEUT,17.4714,-62.9757,152.0,"St. Eustatius, Eutel",2013-12-15T00:00:00,
,SMRT,18.050501,-63.0746,260.0,"St. Maarten, Caribbean Sea",2006-10-27T00:00:00,
NL,0171,51.03544,5.86908,35.0,Nieuwstadt,2006-01-27T00:00:00,2011-11-25T00:00:00
NL,1979,50.9708,5.9268,80.0,Bingelrade,2009-03-10T00:00:00,2014-11-28T00:00:00
NL,1980,50.8,5.9727,154.0,Mamelis,2009-03-10T00:00:00,2015-04-17T00:00:00
NL,1982,50.86939,6.08469,145.0,Rolduc,2007-12-10T00:00:00,2015-04-17T00:00:00
NL,BAPP,53.31482,6.835389999999999,0.0,"Appingedam, Nederland",2013-10-07T00:00:00,
NL,BBER,52.661427,4.7045,2.0,Bergen,2017-12-04T00:00:00,
NL,BFB2,53.187509999999996,6.76549,1.0,"Froombosch2, Nederland",2014-09-17T00:00:00,
NL,BGAR,53.36786,6.713589999999999,1.0,"Garsthuizen, Nederland",2014-09-17T00:00:00,
NL,BHAR,53.22916,6.70898,1.0,"Harkstede, Nederland",2014-09-17T00:00:00,
NL,BHKS,53.29195,6.785019999999999,1.0,"Hoeksmeer, Nederland",2014-09-17T00:00:00,
NL,BING,50.9708,5.9268,80.0,Bingelrade,2014-11-27T00:00:00,
NL,BKMZ,53.290115,6.318887,2.0,Kommerzijl,2015-12-08T00:00:00,
NL,BLOP,53.333909999999996,6.746630000000001,1.0,"Loppersum, Nederland",2013-09-23T00:00:00,
NL,BMD1,53.34726,6.64225,2.0,"Middelstum 1, Nederland",2013-09-11T00:00:00,2014-03-11T05:16:01
NL,BMD2,53.35325,6.6472,0.0,"Middelstum 2, Nederland",2013-09-10T00:00:00,
NL,BONL,53.40014,6.75483,1.0,"Oosternienland, Nederland",2013-09-19T00:00:00,2015-08-23T00:00:00
NL,BOWW,53.34053,6.8125,1.0,"Oosterwijterd, Nederland",2013-10-01T00:00:00,
NL,BSTD,53.312296999999994,6.692137,1.0,"Stedum, Nederland",2014-09-17T00:00:00,
NL,BUHZ,53.40704,6.6726600000000005,2.0,"Uithuizen, Nederland",2013-10-07T00:00:00,
NL,BWIN,53.3112,6.7483699999999995,1.0,"Winneweer, Nederland",2014-09-17T00:00:00,
NL,BWIR,53.32256999999999,6.7861,0.0,"Wirdum, Nederland",2013-09-24T00:00:00,
NL,BWSE,53.34441999999999,6.70989,1.0,"Westeremden, Nederland",2013-04-24T00:00:00,
NL,BZN1,53.365669999999994,6.775119999999999,1.0,t Zandt 1,2013-10-24T00:00:00,
NL,BZN2,53.35683,6.754739999999999,1.0,t Zandt 2,2013-09-23T00:00:00,
NL,CHA1,51.5043,4.9212,-50.0,Chaam niveau 1,2011-07-03T00:00:00,
NL,CHA2,51.5043,4.9212,-100.0,Chaam niveau 2,2011-07-03T00:00:00,
NL,CHA3,51.5043,4.9212,-150.0,Chaam niveau 3,2011-07-03T00:00:00,
NL,CHA4,51.5043,4.9212,-200.0,Chaam niveau 4,2011-07-03T00:00:00,
NL,CHA5,51.5043,4.9212,-250.0,Chaam niveau 5,2011-07-03T00:00:00,
NL,CIA01,51.96884,4.92793,-1.0,Cabauw Infrasound Array,2012-07-04T10:30:00,
NL,CIA02,51.96968,4.9288099999999995,-1.0,Cabauw Infrasound Array,2012-07-04T10:30:00,
NL,CIA03,51.96859,4.92949,-1.0,Cabauw Infrasound Array,2012-07-04T10:30:00,
NL,CIA04,51.967859999999995,4.92801,-2.0,Cabauw Infrasound Array,2012-07-04T10:30:00,
NL,CIA05,51.9685,4.926419999999999,-2.0,Cabauw Infrasound Array,2012-07-04T10:30:00,
NL,CIA06,51.96962,4.92692,-1.0,Cabauw Infrasound Array,2012-07-04T10:30:00,
NL,CIA07,51.97071,4.92579,0.0,Cabauw Infrasound Array,2012-07-04T10:30:00,
NL,CIA08,51.97209,4.92395,-1.0,Cabauw Infrasound Array,2012-07-04T10:30:00,
NL,CIA09,51.97421,4.92298,-1.0,Cabauw Infrasound Array,2012-07-04T10:30:00,
NL,CIA10,51.972970000000004,4.92662,-2.0,Cabauw Infrasound Array,2012-07-04T10:30:00,
NL,DBN,52.1017,5.1767,3.0,"De Bilt, Netherlands",1997-11-25T00:00:00,
